id,d_id,viewtype,network,category,data_type,consumable_data,charges,data_name,incentive,validity,time_window,recursive,prorated,deposite,subscription,unsubscription,status_string,offer_status,offer_detail,isms_maincategory_id,description,ussd_string,packagesids,citiesids,status,faqs,baserate,prioritytable,workcode,updatenotes,mainheader,notifydomain,dostatus
156,25,CallCenter,Jazz,Prepaid,10,5000MBs + 500 Onnet Mins + 50 Offnet,Rs.173 (Incl Tax),LBC TAXILA,5000MBs + 500 Onnet Mins + 50 Offnet,7 days,24 hours,No,No,nan,*596#,*596*4#,*596*2#,Active,"Offer has been converted to LBS Model Offer can be subscribed in whitelisted areas only, however, incentives may be used nationwide Data allowance can be used on both 2G/3G/4G network subject to handset and network coverage. Offer can be subscribed multiple times, incentive would be added and latest validity would be applicable Call setup charges are PKR 0 Taxila LAC IDs 2G    TXL    10231 2G    TXL    20230 2G    TXL    10232 2G    TXL    231 3G    TXL    1260 3G    TXL    1449 3G    TXL    1861 4G    TXL    12601",3870,-,*596*3# (Info),0,nan,A,nan,Overage PKR 2.25/ MB,nan,Description Category Area Taxila Internet LBC - Data - Weekly (LBC) - Activation Prepaid Offers/Bundles Activation Taxila Internet LBC - Data - Weekly (LBC) - Information Prepaid Offers/Bundles Information Taxila Internet LBC - Data - Weekly (LBC) - Complaints - Incentive Issue Prepaid Offers/Bundles Complaints - Incentive Issue Taxila Internet LBC - Data - Weekly (LBC) - Complaints - Wrong/Over Charging Prepaid Offers/Bundles Complaints - Wrong/Over Charging Taxila Internet LBC - Data - Weekly (LBC) - Complaints - General Prepaid Offers/Bundles Complaints - General,Price updated effective from 16th november,B2C,"CC - GSM JAZZ,CC - GSM JAZZ,CC - GSM JAZZ,CC - GSM JAZZ",Active
163,110,CallCenter,Jazz,Prepaid,9,36 GB,Rs 1043.47 inclu. of tax,MBB LBC South Offer (Only for Jazz),36 GB,30 Days,nan,No,No,nan,*117*81#,*117*81*4#,*117*81*2#,Active,"*117*81# User can also Subscribe to MBB LBC offer through http://jazz.wifi/index.htm or http://192.168.1.1 •    Offer is available for Service Class 62 & 18 only •    No Overage & PYG applicable on Dongle or Data SIM. •    Offer can be subscribed from anywhere, however incentive is valid in mentioned areas only •    Data allowance can be used on both 2G/3G/4G network subject to Broadband device and network coverage •    Offer can be subscribed multiple times, incentive would be added and latest validity would be applicable",10013,nan,nan,0,nan,A,List of Cities: Badah Badah_Rural Bhiria City Bhiria City_Rural Choondiko Choondiko_Rural Daharki Daharki_Rural Dokri Dokri_Rural Gambat Gambat_Rural Garhi Khairo Garhi Yasin Garhi Yasin_Rural Ghauspur Ghauspur_Rural Ghotki Ghotki_Rural Jacobabad Jacobabad_Rural Kandhkot Kandhkot_Rural Kandiaro Kandiaro_Rural Kashmore Kashmore_Rural Khairpur Khairpur_Rural Khan Bela Khan Bela_Rural Khan Pur Khan Pur_Rural Khangarh Khangarh_Rural Kot Diji Kot Diji_Rural Lakhi Lakhi_Rural Liaqatpur Liaqatpur_Rural Mehrabpur Mehrabpur_Rural Miro Khan Miro Khan_Rural Mirpur Mathelo Mirpur Mathelo_Rural Mirwah Mirwah_Rural Nasirabad Nasirabad_Rural Naudero Naudero_Rural Naushero Feroze Naushero Feroze_Rural Pacca Chang_Rural Pano Aqil Pano Aqil_Rural Pirjo Goth Pirjo Goth_Rural Qambar Qambar_Rural Rato Dero Rato Dero_Rural Rojhan_Rural SalehPat Shahdadkot Sobho Dero Sobho Dero_Rural Tharu Shah Tharu Shah_Rural Thul Thul_Rural Ubauro Ubauro_Rural Warah Warah_Rural Bhit Shah HALA Matiarii Saeedabad Shahdadpur Shahpurchakar Khadro Qaziahmed NawabWali M Mashak Aliabad HGW MORO Bhansaeedabd Deeparcha Doulatpur Digree Mirpurkhas Tandoalayar Nasarpur Dhinganobozdar Tando Ghulam Ali Chamber Tanjojam M Daur Sakrand Hyderabad Hyderabad_Rural Khanpur_C3 Khanpur_C3_Rural Larkana Larkana_Rural Mirpur Khas Nawabshah Nawabshah_Rural Rahim Yar Khan Rahim Yar Khan_Rural Sadiqabad Sadiqabad_Rural Shikarpur Shikarpur_Rural Sialkot Sialkot_Rural Sukkur Sukkur_Rural Mirpur Khas_Rural Taxila_Rural Taxila,-,nan,MBB LBC SOUTH OFFER - Data - Monthly - Activation MBB LBC SOUTH OFFER - Data - Monthly - Information MBB LBC SOUTH OFFER - Data - Monthly - Complaints - Incentive Issue MBB LBC SOUTH OFFER - Data - Monthly - Complaints - Wrong/Over Charging MBB LBC SOUTH OFFER - Data - Monthly - Complaints - General,Work Codes addition,B2C,"CC - GSM JAZZ,CC - QA",Active
176,132,CallCenter,Jazz,Prepaid,10,12 GBs & unlimited on-net minutes *FUP 5000,Rs.200 (Incl Tax),Super Woman/ Work from home/ Weekly Extreme,12 GBs & unlimited on-net minutes *FUP 5000,7 days,8 AM – 6 PM,no,no,nan,*117*14# / CRM / WhatsApp,*117*14*4#,*117*14*2#,Active,"Customer can avail this from our self-service channels i.e.,WhatsApp 03003008000 Offer is available for subscription via whatsapp as well. Please guide customer accordingly. The offer’s incentive is usable between 8am - 6pm. New sale variant is available at discoutned price of Rs.85 (only for those who have parent offer tagged MSDPARENTOFFER) Call setup fee of 0 is applicable. If you are not subscribed to any bundle, base rate will be charged @Rs. 5/ MB After consumption of  MBs, Rs. 2.25/MB will be charged till expiry of bundle. Customer can avail this bundle from our self-service channels i.e., 111 IVR, 3111 Self-Service IVR, *444# Dial Code.",3457,-,nan,0,nan,A,"Terms & Conditions: This is a non-auto recursive offer If you are not subscribed to any bundle, base rate will be charged @Rs. 5/ MB Overage of Rs. 2.25/MB applies for all mobile internet bundles. Internet offers can be subscribed and consumed in 2G/3G/4G network areas. Bundles will not auto-subscribe and need to be subscribed again upon expiry. Actual internet speed will depend on multiple factors like SIM device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc.",Rs. 5/MB,nan,Description Category Area Work From Home - Hybrid - Weekly - Activation Prepaid Offers/Bundles Activation Work From Home - Hybrid - Weekly - Information Prepaid Offers/Bundles Information Work From Home - Hybrid - Weekly - Complaints - Incentive Issue Prepaid Offers/Bundles Complaints - Incentive Issue Work From Home - Hybrid - Weekly - Complaints - Wrong/Over Charging Prepaid Offers/Bundles Complaints - Wrong/Over Charging Work From Home - Hybrid - Weekly - Complaints - General Prepaid Offers/Bundles Complaints - General,Adidtion of Subscirption Channel: WhatsApp,B2C,CC - GSM JAZZ,Active
196,29,CallCenter,Jazz,Prepaid,9,70GB,Rs 1565.21  incl Tax,MBB North LBC - *117*65#,70GB,30 Days,24 hrs,NO,NO,NO,*117*65#,*117*65*4#,*117*65*3#,Active,"Offer is available for Service Class 62 & 18 only User can subscribe/unsubscribe to MBB LBC offer through: Jazz WiFi app: connect to device WiFi and dial USSD Device Portal: connect to device WiFi, go to http://jazz.wifi/ or http://192.168.1.1 via browser, and dial USSD Customer can recharge, check usage and manage regular bundle subscriptions by using MBB Menu *6363# Offer can be subscribed from anywhere, however incentive is valid in selected areas only; detailed site list for incentive validity is attached Data allowance can be used on both 2G/3G/4G network subject to broadband device and network coverage Offer can be subscribed multiple times, incentive would be added and latest validity would be applicable",5010,MBB LBC offer has been extended to Haripur and Mardan as well. Sites are listed in details field,*117*65#,0,nan,A,"2G LAC 3G LAC 4G TAC 10240 1861 14491 10485 1365 13491 10477 1339 14051 10468 1375 12961 20468 1655 13391 10474 1815 16551 10421 1745 12841 7 1405 13711 10472 1260 18151 30439 1284 13211 40439 1731 18231 20469 1385 13691 10469 7 13001 10470 1691 13241 20439 1297 14711 10439 1296 23491 10440 1449 13651 10434 1349 17311 20440 1371 13751 10230 1300 17751 10420 1823 16951 10412 1321 12971 10200 1471 44701 10232 1324 12702 20230 1461 13851 10466 1695 12701 10243 2349 44411 10242 1369 14611 10479 1775 12001 10228 1270 17451 10417 1200 18611 10416 1102 10418 44392 20416 44391 10247 44421 20246 44171 10473 42301 <td style=""border-bottom:none; border-left:none;",nan,nan,nan,nan,nan,nan,nan
1217,157,CallCenter,Jazz,Prepaid,10,50 GBs (12 AM - 9 AM),113 Incl Tax,Weekly Extreme / weekly late night offer - *117*1#,50 GBs (12 AM - 9 AM),7 Days,50 GBs (12 AM - 9 AM),NO,NO,NO,*117*1# / CRM / WhatsAppp,*117*1*4#,*117*1*2#,Active,"Customer can avail this from our self-service channels i.e.,WhatsApp 03003008000 Offer is available for subscription via whatsapp as well. Please guide customer accordingly. This Offer is non-recursive and customers will have to dial *117*1# again to avail the Offer more than once Free Data MBs are usable on both 3G & 4G Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc If you are not subscribed to any bundle base rate will be charged i.e. Rs.5/MB. Charging pulse will be 512 KB",2678,Data Offer,*117*1#,0,nan,A,"Overage of Rs. 2.25/MB applies for all mobile internet bundle Data Incentives are only available between 12 AM - 9 AM for 7 Days Bundle will not auto-subscribe and need to be subscribed again upon expiry Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc. If you are not subscribed to any bundle, base rate will be charged i.e. Rs. 5/MB. Charging pulse will be 512 KB",-,N/A,Weekly Extreme - Data - Weekly - Information Weekly Extreme - Data - Weekly - Activation Weekly Extreme - Data - Weekly - Complaints - Incentive Issue Weekly Extreme - Data - Weekly - Complaints - Wrong/Over Charging Weekly Extreme - Data - Weekly - Complaints - General,Price Updated,B2C,"CC - GSM JAZZ,CC - CFL,CC - QA,CE Team,CE VMT,FRA - ALL,Business centers,Jazz Q&T,Social Media,Comm Unit",Active
1249,210,CallCenter,Jazz,Prepaid,10,3GB,Rs.434 [Incl Tax],Monthly 3GB -*709#,3GB,30 Days,24 hrs,NO,NO,-,*709#,*709*4#,*709*2#,Active,"Offer is available for Jazz and Warid prepaid subscribers only Upon dialing *709#, customer will be subscribed to Monthly Browser offer, expiring on 30th day after subscription of the offer Bundle is non-recursive and multiple subscriptions are allowed In case of multiple subscriptions, previous incentive will be added and new validity will be applicable",4287,-,*709#,0,nan,A,nan,Rs 5/MB,nan,Monthly 3GB - Data - Monthly - Activation Monthly 3GB - Data - Monthly - Information Monthly 3GB - Data - Monthly - Complaints - Incentive Issue Monthly 3GB - Data - Monthly - Complaints - Wrong/Over Charging Monthly 3GB - Data - Monthly - Complaints - General,3G removal,B2C,"CC - GSM JAZZ,CC - CFL,CC - QA,CE Team,CE VMT,FRA - ALL,Business centers,Jazz Q&T,Social Media,Comm Unit",Active
1266,133,CallCenter,Jazz,Prepaid,10,15GB,Rs.956 (Incl Tax),Monthly Mega Plus - Monthly 15 GB,15GB,30 Days,24 HRS,no,na,na,*117*30#,*117*30*4#,*117*30*2#,active,"Terms and Conditions : · If you are not subscribed to any bundle, base rate will be charged i.e. Rs.5/MB. Charging Pulse will be 512 KB · Internet offer can be subscribed and consumed in 2G/3G/4G networks areas · Bundles will not auto-subscribe and need to be subscribed again upon expiry · Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc Customer can avail this bundle from our self-service channels i.e., *444# Dial Code.",4577,Monthly Data Offer,*117*30#,0,nan,A,nan,Rs.5/MB,nan,Monthly Mega Plus 2 - Data - Monthly - Activation Monthly Mega Plus 2 - Data - Monthly - Information Monthly Mega Plus 2 - Data - Monthly - Complaints - Incentive Issue Monthly Mega Plus 2 - Data - Monthly - Complaints - Wrong/Over Charging Monthly Mega Plus 2 - Data - Monthly - Complaints - General,Revision in price,B2C,CC - GSM JAZZ,Active
1273,160,CallCenter,Jazz,Prepaid,5,50GB (12 AM - 9 AM),Rs. 113,3 Day Extreme (Re-Routed to Weekly Extreme),50GB (12 AM - 9 AM),X+6 Days,24 hours,no,na,na,*114*14#,*114*14*4#,*114*14*2#,active,"3 Day extreme offer has been re-routed to Weekly Extreme Offer w.e.f. 21st July 2023 11:59 PM Terms & Conditions The bundles can be subscribed at any time of the day. Bundles will not auto-subscribe and need to be subscribed again upon expiry. Internet bundles can be subscribed and consumed in 2G/3G/4G networks areas. Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc. Overage of Rs.2/MB applies for the internet bundles. If you are not subscribed to any bundle, base rate will be charged i.e. Rs. 5/MB. Charging pulse will be 512 KB. The bundle is subject to change at any time.",2145,Offer for late night users,*114*14#,0,nan,A,nan,Rs.5/MB,nan,Description Category Area 3 Day Extreme - Data - 3 Day - Activation Prepaid Offers/Bundles Activation 3 Day Extreme - Data - 3 Day - Information Prepaid Offers/Bundles Information 3 Day Extreme - Data - 3 Day - Complaints - Incentive Issue Prepaid Offers/Bundles Complaints - Incentive Issue 3 Day Extreme - Data - 3 Day - Complaints - Wrong/Over Charging Prepaid Offers/Bundles Complaints - Wrong/Over Charging 3 Day Extreme - Data - 3 Day - Complaints - General Prepaid Offers/Bundles Complaints - General,"3 Day extreme offer has been re-routed to Weekly Extreme Offer w.e.f. 21st July 2023 11:59 PM - Incentive, Validity and Price Updated",B2C,CC - GSM JAZZ,Active
1301,211,CallCenter,Jazz,Prepaid,10,-,-,Daily YouTube Offer (routed to Super Offer *212#),-,-,-,no,na,na,*968# / *114*5#,*968*4# / *114*5*4#,*968*2# / *114*5*2#,active,"w.e.f. 13th Feb 2025 11:59PM , bundle price has been revised to PKR 5 upon subscription via SIMOSA Offer Mechanics Offer has been routed to Super Offer *212# This offer can be subscribed and consumed in 2G/3G/4G networks areas To check remaining MB’s and validity, dial bundle status code for Rs. 0.06 Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc If you are not subscribed to any bundle base rate will be charged i.e. Rs.5/MB. Charging pulse will be 512 KB Multiple subscription is allowed, incentive will be add up and expiry will be as per latest Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, 111 IVR, 3111 Self-Service IVR, *444# Dial Code.",nan,"As part of our vision to provide our customers with the best products and services, we are pleased to announce the launch of Daily YouTube bundle!",*968# / *114*5#,0,nan,A,nan,Rs.5/MB,nan,Description Category Area Daily YouTube and Social - Data - Daily - Activation Prepaid Offers/Bundles Activation Daily YouTube and Social - Data - Daily - Information Prepaid Offers/Bundles Information Daily YouTube and Social - Data - Daily - Complaints - Incentive Issue Prepaid Offers/Bundles Complaints - Incentive Issue Daily YouTube and Social - Data - Daily - Complaints - Wrong/Over Charging Prepaid Offers/Bundles Complaints - Wrong/Over Charging Daily YouTube and Social - Data - Daily - Complaints - General Prepaid Offers/Bundles Complaints - General,nan,B2C,CC - GSM JAZZ,Active
1309,39,CallCenter,Jazz,Prepaid,3,Facebook & WhatsApp (FUP 4GB),Rs 0,Data Sim New Sale Offer - Free Social Bundle,Facebook & WhatsApp (FUP 4GB),30 Days,24 HRS,no,na,na,BVS Sale Only,Suppressed,*117*72*2#,active,"Customer will be auto-subscribed to this offer at the time of new BVS sale Subscriber will get 4GB which will be available for use for only Whatsapp and Facebook For any other internet usage, customer would need to subscribe data bundles It will be a once-off offer, and multiple subscriptions of same will not be possible No PYG or Overage rate will be applicable after bundle consumption Subscriber will get maximum speed based on Best efforts in 2G+4G network Existing Data SIM customers will be able to consume remaining quota from 500MB for 10days This offer is only for Data SIM customers (SC18), and not available to MBB or other prepaid customers This offer is available to all Tariff Plans are implemented for AJK & Rest of Pakistan",nan,Offer to be given to customers on Data SIM New Sale,nan,0,nan,A,nan,Rs.5/MB,nan,Description Category Area New Sale Social offer - Data - Once - Activation Prepaid Offers/Bundles Activation New Sale Social offer - Data - Once - Information Prepaid Offers/Bundles Information New Sale Social offer - Data - Once - Complaints - Incentive Issue Prepaid Offers/Bundles Complaints - Incentive Issue New Sale Social offer - Data - Once - Complaints - Wrong/Over Charging Prepaid Offers/Bundles Complaints - Wrong/Over Charging New Sale Social offer - Data - Once - Complaints - General Prepaid Offers/Bundles Complaints - General,WCs are updated,B2C,CC - GSM JAZZ,Active
